ID,Ref,year,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Nickname(n),-HOMO_n(eV),-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),Nickname(p),-HOMO_p(eV),-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,p/n ratio (p),p/n ratio (n),Solvent,Additive,TA (oC),thick (nm),,Journal,DOI
405,185,2017,9.75,9.63,16.84,0.6344,0.91,FTIC-C6C6,5.6,3.97,1.63,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6C=C8C(C(SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CCCCCC)CCCCCC)=C7)=C5,1267.83,PBDB-T,5.23,3.42,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,DCB,DIO,NA,,,J. Mater. Chem. A,10.1039/c7ta02141k
406,185,2017,11.12,11.04,18.55,0.6472,0.93,FTIC-C6C8,5.64,4.02,1.62,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCCCC)CCCCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6C=C8C(C(SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CCCCCCCC)CCCCCCCC)=C7)=C5,1380.05,PBDB-T,5.23,3.42,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,DCB,DIO,NA,,,J. Mater. Chem. A,10.1039/c7ta02141k
407,186,2017,10.5,10,19,0.62,0.89,ITIC,5.6,3.85,1.75,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PSBZ,5.37,3.47,1.9,CC1=CC(C(S1)=C2C3=CC=C(SCC(CCCC)CCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C68)S5)S4)C9=CC=C(SCC(CCCC)CCCCCC)S9,69.54,30.5,2.28,1,1,CB,NA,140,,,J. Mater. Chem. A,10.1039/c7ta02075a
408,187,2017,9.05,8.93,16.11,0.64,0.87,ITIC,5.55,4,1.55,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PBDB-T1,5.26,3.46,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CCCCCCCC)SC(CCCCCCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,169.32,66.4,2.55,1,1.2,DCB,NA,NA,90,,J. Mater. Chem. A,10.1039/c7ta01554b
409,187,2017,9.12,8.99,15.93,0.62,0.92,ITTIC,5.28,3.82,1.46,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(C8=CC=C(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S8)=C7)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(C%14=CC=C(/C=C%15C(C(C=CC=C%16)=C%16C\%15=C(C#N)/C#N)=O)S%14)=C%17)=C%17S%13,1592.2,PBDB-T1,5.26,3.46,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CCCCCCCC)SC(CCCCCCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,169.32,66.4,2.55,1,1.2,DCB,NA,110,90,,J. Mater. Chem. A,10.1039/c7ta01554b
410,188,2017,4.89,4.81,10.53,0.56,0.83,PY-1,5.27,3.87,1.4,CCCCCCCCC(CCCCCCCC)N1C2=C(SC(C(S3)=C(CCCCC)C=C3C(SC(/C=C4C(N(C(C([N+]#[C-])=C\4C)=O)CCCC)=O)=C5)=C5CCCCCC)=C2)C6=C1C=C(C7=C(CCCCCC)C=C(C8=C(CCCCCC)C=C(/C=C9C(C)=C([N+]#[C-])C(N(CCCC)C/9=O)=O)S8)S7)S6,1501.3,P1,5.1,3.48,1.62,CC(SC1=C2OCCCCCCCCCCCC)=CC1=C(OCCCCCCCCCCCC)C3=C2C=C(S3)C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4,18.1,12.2,1.48,1,2,CF,DIO,NA,,,J. Mater. Chem. A,10.1039/c7ta04703g
411,188,2017,6.94,6.87,13.77,0.63,0.8,DCI-2,5.24,4.01,1.23,CCCCCCCCC(CCCCCCCC)N1C2=C(SC(C(S3)=C(CCCCC)C=C3C(SC(/C=C4/C(C(C=CC=C5)=C5C4=O)=C(C#N)\C#N)=C6)=C6CCCCCC)=C2)C7=C1C=C(C8=C(CCCCCC)C=C(C9=C(CCCCCC)C=C(/C=C%10/C(C(C=CC=C%11)=C%11C%10=O)=C(C#N)\C#N)S9)S8)S7,1477.19,P1,5.1,3.48,1.62,CC(SC1=C2OCCCCCCCCCCCC)=CC1=C(OCCCCCCCCCCCC)C3=C2C=C(S3)C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4,18.1,12.2,1.48,1,2,CF,DIO,NA,,,J. Mater. Chem. A,10.1039/c7ta04703g
412,189,2017,6.26,6.11,10.93,0.62,0.927,ATT3,5.32,3.4,1.92,S=C(S/1)N(CC)C(C1=C\C(S2)=C(SC(C(OCCCCCCCC)=O)=C3)C3=C2C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=C%12C(SC(C(OCCCCCCCC)=O)=C%12)=C(/C=C%13SC(N(C\%13=O)CC)=S)S%11)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=O,1838.73,P3HT,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1,21.1,11.6,1.82,1,0.8,CF,NA,130,70,,J. Mater. Chem. A,10.1039/c7ta05108e
413,190,2017,8.63,8.5,13.55,0.681,0.935,NTIC,5.58,3.76,1.82,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1478.02,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,0.8,CF,NA,NA,,,J. Mater. Chem. A,10.1039/c7ta05809h
414,190,2017,8.3,8.12,13.03,0.662,0.963,NTIC-Me,5.53,3.73,1.8,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(C)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1506.07,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,0.8,CF,NA,NA,,,J. Mater. Chem. A,10.1039/c7ta05809h
415,190,2017,8.61,8.47,13.52,0.66,0.965,NTIC-Ome,5.53,3.7,1.83,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(OC)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(OC)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1538.07,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,0.8,CF,NA,NA,,,J. Mater. Chem. A,10.1039/c7ta05809h
416,190,2017,8.1,7.97,15.04,0.663,0.812,NTIC-F,5.52,3.77,1.75,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(F)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1514,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,0.8,CF,NA,NA,,,J. Mater. Chem. A,10.1039/c7ta05809h
417,191,2017,9.7,9.5,16,0.58,1.04,ITIC,5.6,3.85,1.75,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PM6,5.5,3.61,1.89,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,DIO,100,,,J. Mater. Chem. A,10.1039/c7ta07785h
418,192,2017,8.37,8.37,16.25,0.565,0.911,ITIC,5.64,4.04,1.6,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,FTAZ,5.48,3.47,2.01,CC1=CC2=C(S1)C(CCC(CCCC)CCCCCC)=C3C=C(SC3=C2CCC(CCCC)CCCCCC)C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C65)CC(CCCC)CCCCCC)C7=CC=C(S7)C)F,99.592,42.2,2.36,1,1.5,CF,NA,NA,,,J. Mater. Chem. A,10.1039/c7ta07882j
419,192,2017,4.26,4.26,12.54,0.399,0.851,ITIC,5.64,4.04,1.6,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,HATZ,5.42,3.44,1.98,CC1=CC2=C(C(CCC(CCCCCC)CCCC)=C3C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCC)N=C75)S4)SC3=C2CCC(CCCCCC)CCCC)S1,122.332,47.6,2.57,1,1.5,CF,NA,NA,,,J. Mater. Chem. A,10.1039/c7ta07882j
420,193,2018,8.5,8.4,14.8,0.67,0.85,ITIC-OE,5.68,4.03,1.65,COCCOCC(C=C1)=CC=C1C2(C3=CC=C(COCCOC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(COCCOC)C=C%10)C%11=CC=C(COCCOC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1443.73,PBDB-T,5.23,3.42,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,CB,DIO,120,,,J. Mater. Chem. A,10.1039/c7ta10136h
421,193,2018,10.4,10.1,16.5,0.71,0.89,ITIC,5.67,4.03,1.64,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PBDB-T,5.23,3.42,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,CB,DIO,120,,,J. Mater. Chem. A,10.1039/c7ta10136h
422,194,2018,10.42,10.21,15.13,0.72,0.95,ITCT,5.62,3.92,1.7,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(SC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(SC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1440,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,2,CF,DIO,80,,,J. Mater. Chem. A,10.1039/c7ta10391c
423,195,2018,8.81,8.67,15.79,0.6132,0.91,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,2D-PBTCl,5.45,3.6,1.85,ClC(C1=C(SC(C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C)=C1S7)C)=C7C8=CC=C(C(OCCCCCC)=O)S8,66.16,41.37,1.59,1,1,CB,DIO,NA,,,J. Mater. Chem. A,10.1039/c7ta09837e
424,195,2018,7.38,7.17,14.52,0.5843,0.87,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,2D-PBTCl2,5.43,3.63,1.8,ClC(C1=C(SC(C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C)=C1S7)C)=C7C8=C(Cl)C=C(C(OCCCCCC)=O)S8,80.3,41.86,1.91,1,1,CB,DIO,NA,,,J. Mater. Chem. A,10.1039/c7ta09837e
425,195,2018,6.91,6.8,14.76,0.5709,0.82,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PTB7-Th,5.38,3.7,1.68,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1,CB,DIO,NA,,,J. Mater. Chem. A,10.1039/c7ta09837e
426,196,2018,10.52,10.32,16.88,0.6924,0.9,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,TTFQx-T1,5.31,3.62,1.69,FC1=C(C2=CC=C(C3=CC(C(C4=CC=C(CC(CC)CCCCC)S4)=C(SC(C)=C5)C5=C6C7=CC=C(CC(CC)CCCC)S7)=C6S3)S2)C8=NC(C9=CC(F)=C(CC(CC)CCCC)S9)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)N=C8C(C%11=CC=C(C)S%11)=C1F,71.2,24.8,2.87,1,1.5,CF,NA,150,,,J. Mater. Chem. A,10.1039/c7ta10262c
427,196,2018,7.22,7.07,13.75,0.5611,0.94,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,TTFQx-T2,5.38,3.67,1.71,FC1=C(C2=CC=C(C3=CC(C(C4=CC=C(CC(CCCC)CCCCCCC)S4)=C(SC(C)=C5)C5=C6C7=CC=C(CC(CCCC)CCCCCC)S7)=C6S3)S2)C8=NC(C9=CC(F)=C(CC(CC)CCCC)S9)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)N=C8C(C%11=CC=C(C)S%11)=C1F,31.6,13.7,2.31,1,1.5,CF,NA,150,,,J. Mater. Chem. A,10.1039/c7ta10262c
428,197,2018,6.15,5.72,18.77,0.489,0.665,FNDTS,5.36,3.92,1.44,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C(S5)=C(C(S6)=C5C7=C6C(SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C%10)=C%10[Si]7(CCCCCCCC)CCCCCCCC)[Si]4(CCCCCCCC)CCCCCCCC)=C(C#N)/C#N)C=C(F)C(F)=C2,1289.83,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1.2,CF,NA,NA,100,,J. Mater. Chem. A,10.1039/c7ta10957a
429,197,2018,9.6,9.39,20.14,0.633,0.744,FNDTSB,5.56,3.85,1.71,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C([Si]4(CCCCCCCC)CCCCCCCC)C6=C(OCCCCCC)C(SC7=C8[Si](CCCCCCCC)(CCCCCCCC)C9=C7SC(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C(OCCCCCC)=C6S5)=C(C#N)/C#N)C=C(F)C(F)=C2,1540.21,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1,CF,NA,NA,100,,J. Mater. Chem. A,10.1039/c7ta10957a
430,198,2018,11.74,11.64,17.02,0.72,0.95,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PBDB-T,5.3,3.5,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,50.384,18.8,2.68,1,1,CB,NA,NA,100,,J. Mater. Chem. A,10.1039/c8ta00368h
431,198,2018,10.78,10.64,15.68,0.7,0.97,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PBDB-T-BO,5.38,3.58,1.8,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,28.702,12.7,2.26,1,1,THF,NA,NA,100,,J. Mater. Chem. A,10.1039/c8ta00368h
432,198,2018,12.1,11.68,17.63,0.69,0.96,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PBDB-BzT,5.36,3.56,1.8,CC(SC1=C2C3=CC(C=C(CC(CCCC)CCCCCC)C=C4)=C4S3)=CC1=C(C5=CC(C=C(CC(CCCC)CCCCCC)C=C6)=C6S5)C7=C2C=C(S7)C8=CC=C(C9=C%10C(C(C%11=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%11C%10=O)=O)=C(C%12=CC=C(C)S%12)S9)S8,27.405,13.5,2.03,1,1,THF,NA,NA,100,,J. Mater. Chem. A,10.1039/c8ta00368h
